Clase,Umbral
Agaricus augustus,0.33919707
Agaricus xanthodermus,0.15870236
Amanita citrina,0.39065185
Amanita muscaria,0.36110774
Amanita pantherina,0.48086274
Amanita phalloides,0.7077809
Amanita rubescens,0.3309458
Armillaria mellea,0.34170285
Armillaria tabescens,0.26260635
Bjerkandera adusta,0.67354
Bolbitius titubans,0.3127468
Boletus edulis,0.38285026
Calocera viscosa,0.19174534
Cantharellus cibarius,0.47532523
Chlorociboria aeruginascens,0.07578125
Chlorophyllum molybdites,0.1993027
Clitocybe nebularis,0.7069397
Coltricia perennis,0.9164939
Coprinellus disseminatus,0.22292218
Coprinellus micaceus,0.6299741
Coprinopsis atramentaria,0.28684986
Coprinus comatus,0.68063486
Flammulina velutipes,0.22127391
Fomes fomentarius,0.42273787
Fomitopsis pinicola,0.5608932
Galerina marginata,0.4304791
Ganoderma applanatum,0.35837597
Gloeophyllum sepiarium,0.5830529
Gyromitra esculenta,0.6270304
Gyromitra infula,0.38851297
Hericium erinaceus,0.16657391
Hygrophoropsis aurantiaca,0.5167963
Kuehneromyces mutabilis,0.5888677
Lactarius deliciosus,0.53164756
Leucoagaricus americanus,0.429506
Lycoperdon perlatum,0.21088582
Lycoperdon pyriforme,0.62607014
Macrolepiota procera,0.4520447
Mycena haematopus,0.47628978
Panellus stipticus,0.62633306
Paxillus involutus,0.5709619
Phallus impudicus,0.15787625
Phellinus igniarius,0.39918157
Pholiota aurivella,0.44920614
Schizophyllum commune,0.44357157
Suillus granulatus,0.3920139
Suillus luteus,0.3559243
Tapinella atrotomentosa,0.3279845
Trametes hirsuta,0.663776
Trametes ochracea,0.64173734
Trametes versicolor,0.62468296
Trichaptum biforme,0.50144994
Tricholomopsis rutilans,0.29529715
Verpa bohemica,0.4882767
